,Document 1,Document 2
as,12,17
man,4,1
of,69,19
and,130,2
not,28,7
but,28,5
feel,2,2
he,105,37
the,161,8
father,28,1
with,30,1
felt,9,1
ashamed,2,1
his,52,8
that,47,1
ought,1,1
to,97,16
too,9,3
been,11,3
by,12,17
him,24,7
in,63,30
so,22,21
himself,12,1
were,13,2
any,2,3
case,2,2
on,20,18
if,4,8
here,8,1
is,26,13
why,8,4
be,19,10
friendly,1,2
everything,2,3
show,2,1
nothing,5,1
do,10,22
merely,1,1
just,2,1
they,10,3
at,25,22
was,48,4
had,30,3
indeed,2,3
these,3,3
though,5,2
it,47,25
for,27,6
only,7,1
two,6,3
rooms,2,1
however,1,2
no,17,23
great,4,1
furniture,1,1
covered,1,1
old,9,6
style,2,1
even,6,2
most,8,1
well,5,1
excellent,1,1
both,1,1
latter,1,1
little,3,3
then,3,1
way,2,2
out,6,5
all,19,6
an,1,13
aware,2,1
own,5,7
knew,4,2
would,7,1
who,5,2
see,3,4
highest,1,1
neither,2,1
nor,3,4
dinner,4,1
one,9,2
waiting,2,3
other,2,1
guest,2,3
stood,3,1
tall,1,1
still,4,1
long,1,1
face,3,3
time,4,1
blessing,1,4
tried,1,2
through,1,3
simple,1,1
hearted,1,4
manner,1,1
must,6,1
having,1,1
without,5,1
you,59,8
son,7,6
words,4,1
fact,1,1
doubt,1,3
therefore,1,1
regret,1,1
me,27,8
make,1,1
what,11,1
has,8,4
former,1,1
humanity,1,1
again,10,1
head,3,2
perhaps,3,2
our,6,3
might,5,2
like,3,1
we,7,11
say,7,1
their,1,2
played,5,2
meant,1,2
really,2,1
dine,1,1
yet,2,3
meet,1,1
am,17,14
are,10,4
every,1,1
how,6,2
past,1,3
asked,1,4
answered,1,1
tell,1,1
done,1,1
ever,3,1
since,2,1
now,9,4
eyes,1,1
may,2,7
myself,2,1
think,1,1
while,4,1
limits,1,1
sometimes,2,1
laughing,2,1
looked,1,1
gone,1,4
from,11,2
mind,3,2
instantly,1,2
certainly,1,1
or,2,9
welcome,1,1
my,16,12
impossible,3,1
does,1,1
right,3,1
mean,2,1
house,1,3
believe,1,2
such,2,1
called,1,1
age,3,3
up,9,10
heard,1,2
excuse,1,1
allow,1,2
want,4,2
vanity,1,1
listening,1,1
get,4,2
can,4,1
explain,1,1
did,7,7
along,1,1
spot,2,2
respect,1,2
paid,1,2
spirit,1,1
put,2,5
speaking,1,3
soon,1,1
talking,2,3
evil,1,2
formal,1,1
expect,1,1
world,1,1
society,1,1
yourself,2,2
expense,1,1
find,1,3
something,1,1
provided,1,3
kept,3,2
silent,3,1
coming,1,1
tears,1,1
set,1,4
wife,1,1
hundred,2,1
never,2,2
almost,1,1
draw,1,4
upon,1,2
rest,2,1
order,1,1
saw,2,1
far,1,4
off,1,5
sight,1,1
day,1,1
late,1,1
brother,1,1
feet,2,2
taken,1,1
minutes,2,1
waited,1,1
